	0	100	500	1000	1500	2000	2500	3000	4000	5000	6000	7000	8000	9000	10000	11000	12000	13000	14000
-270	0	-2.84	0.23	0.61	0.74	0.80	0.84	0.86	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00
-250	0	-2.59	0.28	0.64	0.76	0.81	0.85	0.87	0.89	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00
-200	0	-2.02	0.40	0.69	0.79	0.84	0.87	0.89	0.91	0.88	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00
-150	0	-1.53	0.49	0.74	0.83	0.87	0.89	0.91	0.93	0.92	0.90	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00
-100	0	-1.10	0.58	0.78	0.85	0.89	0.91	0.92	0.94	0.94	0.93	0.93	0.91	1.00	1.00	1.00	1.00	1.00	1.00
-80	0	-0.95	0.60	0.80	0.86	0.89	0.91	0.92	0.94	0.94	0.94	0.93	0.93	0.92	0.91	1.00	1.00	1.00	1.00
-50	0	-0.76	0.64	0.81	0.87	0.90	0.91	0.93	0.94	0.95	0.95	0.94	0.94	0.93	0.93	0.92	0.91	0.91	0.90
-20	0	-0.71	0.63	0.80	0.86	0.89	0.90	0.91	0.93	0.93	0.94	0.93	0.92	0.91	0.90	0.89	0.88	0.88	0.87
-10	0	-0.93	0.55	0.75	0.82	0.85	0.87	0.88	0.90	0.90	0.91	0.90	0.89	0.87	0.84	0.82	0.80	0.78	0.76
-5	0	-1.64	0.35	0.63	0.72	0.77	0.80	0.81	0.83	0.84	0.84	0.84	0.80	0.75	0.71	0.66	0.62	0.58	0.55
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
5	0.00	0.26	0.58	0.72	0.77	0.80	0.82	0.84	0.85	0.86	0.86	0.86	0.83	0.80	0.77	0.74	0.72	0.70	0.68
10	0.00	0.33	0.67	0.79	0.84	0.86	0.88	0.89	0.90	0.91	0.91	0.91	0.89	0.88	0.86	0.84	0.83	0.82	0.80
20	0.00	0.36	0.72	0.83	0.87	0.89	0.91	0.92	0.93	0.93	0.94	0.93	0.93	0.92	0.91	0.90	0.89	0.88	0.87
50	0.00	0.36	0.73	0.84	0.88	0.91	0.92	0.93	0.94	0.95	0.95	0.94	0.94	0.93	0.92	0.92	0.91	0.90	1.00
80	0.00	0.33	0.71	0.83	0.88	0.90	0.92	0.93	0.94	0.94	0.94	0.93	0.92	0.90	1.00	1.00	1.00	1.00	1.00
100	0.00	0.32	0.70	0.82	0.87	0.90	0.91	0.93	0.94	0.94	0.93	0.92	1.00	1.00	1.00	1.00	1.00	1.00	1.00
150	0.00	0.28	0.66	0.79	0.85	0.88	0.90	0.91	0.93	0.91	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00
200	0.00	0.25	0.62	0.76	0.83	0.86	0.89	0.90	0.91	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00
250	0.00	0.22	0.58	0.73	0.80	0.84	0.87	0.89	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00
270	0.00	0.20	0.56	0.72	0.79	0.83	0.86	0.88	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00	1.00
