Time;Speed;Distance;Acceleration;Motor RPM;Ideal Torque;Reduction Loss;Real Torque;Electric Power;eMotor Efficiency;Power Consumption;Battery Internal Resistance;Battery Intensity;Battery OCV;Battery Tension;Battery SOC;Battery Usage Duration;Battery Pulse Duration
0,00;0,00;0,00;0,00;0,00;4,77;0,00;0,00;0,00;0,00;300,00;0,08;0,87;345,37;345,29;0,95;0,00;2,00
1,00;0,00;0,00;0,00;0,00;4,77;0,00;0,00;0,00;0,00;300,00;0,08;0,87;345,37;345,29;0,95;0,00;0,00
2,00;0,00;0,00;0,00;0,00;4,77;0,00;0,00;0,00;0,00;300,00;0,08;0,87;345,37;345,29;0,95;0,00;0,00
3,00;0,89;0,89;0,89;266,77;55,70;48,11;55,72;1556,52;0,51;3355,92;0,08;9,74;345,36;345,29;0,95;0,00;0,00
4,00;2,19;3,08;1,31;658,60;79,64;159,97;79,67;5494,40;0,75;7642,99;0,09;22,25;345,36;344,53;0,95;0,00;0,00
5,00;3,61;6,69;1,42;1083,77;86,17;265,46;86,19;9782,02;0,84;12011,05;0,09;35,09;345,36;343,39;0,95;0,00;0,00
6,00;5,06;11,75;1,44;1517,28;88,00;358,54;88,03;13986,59;0,88;16251,57;0,09;47,66;345,34;342,13;0,95;0,00;0,00
7,00;6,47;18,22;1,42;1942,45;86,73;432,32;86,76;17647,34;0,90;19966,96;0,09;58,77;345,32;340,81;0,95;0,00;0,00
8,00;7,72;25,94;1,25;2317,60;77,54;440,98;77,56;18822,84;0,91;20916,45;0,10;61,65;345,29;339,55;0,95;0,00;0,00
9,00;8,75;34,69;1,03;2626,06;65,14;407,30;65,16;17918,61;0,92;19723,52;0,10;58,11;345,25;339,04;0,95;0,00;0,00
10,00;9,75;44,44;1,00;2926,18;63,92;439,58;63,93;19590,30;0,93;21398,33;0,10;63,19;345,20;339,18;0,95;0,00;0,00
11,00;10,72;55,17;0,97;3217,96;62,72;470,13;62,73;21139,42;0,93;22977,41;0,11;68,00;345,16;338,42;0,95;0,00;0,00
12,00;11,53;66,69;0,81;3459,73;53,52;425,30;53,54;19396,13;0,93;21053,46;0,11;62,23;345,12;337,71;0,95;0,00;0,00
13,00;12,11;78,81;0,58;3634,80;41,07;345,66;41,08;15635,31;0,93;17051,39;0,11;50,23;345,07;338,15;0,95;0,00;0,00
14,00;12,53;91,33;0,42;3759,85;31,72;282,96;31,73;12493,58;0,93;13712,19;0,11;40,28;345,03;339,33;0,95;0,00;0,00
15,00;12,97;104,31;0,44;3893,23;33,54;308,27;33,55;13676,47;0,93;14951,57;0,12;43,99;345,00;340,34;0,95;0,00;0,00
16,00;13,42;117,72;0,44;4026,62;33,77;321,26;33,78;14242,35;0,93;15537,11;0,12;45,76;344,97;339,78;0,95;0,00;0,00
17,00;13,72;131,44;0,31;4118,32;25,98;262,28;25,98;11205,77;0,93;12320,39;0,12;36,17;344,94;339,44;0,95;0,00;0,00
18,00;14,08;145,53;0,36;4226,70;29,36;300,22;29,36;12996,75;0,93;14217,70;0,12;41,84;344,91;340,48;0,95;0,00;0,00
19,00;14,39;159,92;0,31;4318,40;26,35;280,66;26,35;11916,94;0,93;13075,57;0,12;38,45;344,88;339,66;0,94;0,00;0,00
20,00;14,69;174,61;0,31;4410,11;26,52;289,23;26,53;12250,76;0,93;13429,55;0,13;39,52;344,86;339,97;0,94;0,00;0,00
21,00;14,97;189,58;0,28;4493,47;25,09;282,33;25,10;11809,87;0,93;12964,23;0,13;38,14;344,83;339,72;0,94;0,00;0,00
22,00;15,25;204,83;0,28;4576,84;25,26;290,04;25,26;12108,15;0,93;13280,90;0,13;39,10;344,80;339,79;0,94;0,00;0,00
23,00;15,47;220,31;0,22;4643,53;22,21;265,89;22,21;10802,35;0,93;11900,30;0,13;34,99;344,78;339,56;0,94;0,00;0,00
24,00;15,61;235,92;0,14;4685,22;17,52;226,10;17,53;8598,86;0,92;9603,37;0,14;28,17;344,75;340,01;0,94;0,00;0,00
25,00;15,69;251,61;0,08;4710,23;14,39;200,47;14,39;7100,33;0,92;8041,60;0,14;23,55;344,73;340,85;0,94;0,00;0,00
26,00;15,97;267,58;0,28;4793,60;25,70;310,45;25,71;12904,30;0,93;14124,87;0,14;41,68;344,71;341,42;0,94;0,00;0,00
27,00;16,06;283,64;0,08;4818,61;14,62;208,47;14,62;7377,54;0,92;8334,21;0,14;24,42;344,69;338,78;0,94;0,00;0,00
28,00;16,00;299,64;-0,06;4801,93;6,63;138,05;6,63;3333,63;0,87;4112,85;0,14;11,99;344,66;341,15;0,94;0,00;0,00
29,00;15,78;315,42;-0,22;4735,24;-3,06;75,81;-3,06;-1515,54;0,51;-475,72;0,15;-1,38;344,65;342,86;0,94;0,00;0,00
30,00;15,61;331,03;-0,17;4685,22;0,02;0,50;0,02;10,27;0,00;3163,01;0,08;9,20;344,64;344,75;0,94;0,00;0,00
31,00;15,42;346,44;-0,19;4626,86;-1,69;40,39;-1,69;-817,75;0,28;69,16;0,08;0,20;344,64;343,88;0,94;0,00;0,00
32,00;15,47;361,92;0,06;4643,53;12,66;181,99;12,67;6159,77;0,91;7048,79;0,08;20,55;344,63;344,62;0,94;0,00;0,00
33,00;15,56;377,47;0,08;4668,54;14,31;197,43;14,31;6995,74;0,92;7931,17;0,09;23,15;344,63;342,88;0,94;0,00;0,00
34,00;15,69;393,17;0,14;4710,23;17,57;228,07;17,58;8670,08;0,92;9678,61;0,09;28,29;344,62;342,57;0,94;0,00;0,00
35,00;15,97;409,14;0,28;4793,60;25,70;310,45;25,71;12904,30;0,93;14124,87;0,09;41,44;344,60;342,01;0,94;0,00;0,00
36,00;16,14;425,28;0,17;4843,62;19,44;252,80;19,45;9863,90;0,93;10919,97;0,09;31,97;344,58;340,67;0,94;0,00;0,00
37,00;16,19;441,47;0,06;4860,29;13,11;197,38;13,12;6676,33;0,92;7594,36;0,10;22,18;344,55;341,44;0,94;0,00;0,00
