Time;Speed;Distance;Acceleration;Motor RPM;Ideal Torque;Reduction Loss;Real Torque;Electric Power;eMotor Efficiency;Power Consumption;Battery Internal Resistance;Battery Intensity;Battery OCV;Battery Tension;Battery SOC;Battery Usage Duration;Battery Pulse Duration
0,00;0,00;0,00;0,00;0,00;4,77;0,00;0,00;0,00;0,00;300,00;0,08;0,87;345,37;345,29;0,95;0,00;2,00
1,00;0,00;0,00;0,00;0,00;4,77;0,00;0,00;0,00;0,00;300,00;0,08;0,87;345,37;345,29;0,95;0,00;0,00
2,00;0,00;0,00;0,00;0,00;4,77;0,00;0,00;0,00;0,00;300,00;0,08;0,87;345,37;345,29;0,95;0,00;0,00
3,00;0,00;0,00;0,00;0,00;4,77;0,00;0,00;0,00;0,00;300,00;0,08;0,87;345,36;345,29;0,95;0,00;0,00
4,00;0,00;0,00;0,00;0,00;4,77;0,00;0,00;0,00;0,00;300,00;0,09;0,87;345,36;345,29;0,95;0,00;0,00
5,00;0,00;0,00;0,00;0,00;4,77;0,00;0,00;0,00;0,00;300,00;0,09;0,87;345,36;345,29;0,95;0,00;0,00
6,00;0,00;0,00;0,00;0,00;4,77;0,00;0,00;0,00;0,00;300,00;0,09;0,87;345,36;345,28;0,95;0,00;0,00
7,00;0,00;0,00;0,00;0,00;4,77;0,00;0,00;0,00;0,00;300,00;0,09;0,87;345,36;345,28;0,95;0,00;0,00
8,00;0,00;0,00;0,00;0,00;4,77;0,00;0,00;0,00;0,00;300,00;0,10;0,87;345,36;345,28;0,95;0,00;0,00
9,00;0,00;0,00;0,00;0,00;4,77;0,00;0,00;0,00;0,00;300,00;0,10;0,87;345,36;345,27;0,95;0,00;0,00
10,00;0,00;0,00;0,00;0,00;4,77;0,00;0,00;0,00;0,00;300,00;0,10;0,87;345,36;345,27;0,95;0,00;0,00
11,00;0,00;0,00;0,00;0,00;4,77;0,00;0,00;0,00;0,00;300,00;0,11;0,87;345,36;345,27;0,95;0,00;0,00
12,00;0,06;0,06;0,06;16,67;7,95;0,44;7,96;13,89;0,05;576,47;0,11;1,67;345,36;345,26;0,95;0,00;0,00
13,00;0,47;0,53;0,42;141,72;28,64;13,37;28,65;425,21;0,40;1368,77;0,11;3,97;345,36;345,17;0,95;0,00;0,00
14,00;1,50;2,03;1,03;450,18;63,68;90,33;63,70;3003,08;0,67;4754,19;0,11;13,83;345,36;344,91;0,95;0,00;0,00
15,00;2,75;4,78;1,25;825,33;76,51;183,75;76,54;6614,87;0,79;8677,10;0,12;25,34;345,36;343,75;0,95;0,00;0,00
16,00;3,64;8,42;0,89;1092,11;55,94;161,60;55,96;6399,61;0,85;7866,81;0,12;22,96;345,35;342,35;0,95;0,00;0,00
17,00;4,69;13,11;1,06;1408,90;65,66;240,57;65,68;9690,20;0,87;11415,68;0,12;33,45;345,33;342,57;0,95;0,00;0,00
18,00;6,03;19,14;1,33;1809,06;81,85;379,99;81,87;15510,39;0,89;17688,24;0,12;52,19;345,31;341,21;0,95;0,00;0,00
19,00;7,22;26,36;1,19;2167,54;74,21;397,02;74,23;16848,35;0,91;18855,83;0,12;55,73;345,29;338,78;0,95;0,00;0,00
20,00;7,64;34,00;0,42;2292,59;29,78;161,90;29,79;7152,33;0,91;8191,61;0,13;23,94;345,25;338,17;0,95;0,00;0,00
21,00;7,81;41,81;0,17;2342,61;15,52;91,49;15,52;3807,49;0,89;4576,80;0,13;13,32;345,22;342,12;0,95;0,00;0,00
22,00;7,86;49,67;0,06;2359,28;9,17;62,62;9,17;2266,28;0,86;2921,66;0,13;8,49;345,20;343,45;0,95;0,00;0,00
23,00;8,00;57,67;0,14;2400,97;13,99;86,60;13,99;3517,46;0,89;4261,07;0,13;12,40;345,19;344,06;0,95;0,00;0,00
24,00;8,08;65,75;0,08;2425,98;10,83;72,35;10,83;2752,30;0,88;3429,25;0,14;9,97;345,18;343,50;0,95;0,00;0,00
25,00;8,56;74,31;0,47;2567,70;33,26;200,88;33,27;8944,90;0,92;10067,56;0,14;29,51;345,18;343,80;0,95;0,00;0,00
26,00;8,86;83,17;0,31;2659,40;23,82;151,32;23,82;6634,56;0,91;7555,14;0,14;22,09;345,17;341,04;0,95;0,00;0,00
27,00;9,47;92,64;0,61;2842,81;41,54;274,24;41,55;12368,67;0,92;13685,45;0,14;40,32;345,15;342,02;0,95;0,00;0,00
28,00;10,17;102,81;0,69;3051,23;46,58;327,32;46,59;14886,54;0,93;16317,79;0,14;48,25;345,13;339,33;0,95;0,00;0,00
29,00;10,86;113,67;0,69;3259,64;46,87;351,17;46,88;16001,44;0,93;17477,13;0,15;51,78;345,11;338,06;0,95;0,00;0,00
30,00;11,47;125,14;0,61;3443,05;42,36;337,08;42,37;15277,37;0,93;16694,00;0,15;49,43;345,07;337,40;0,95;0,00;0,00
31,00;11,81;136,94;0,33;3543,09;26,61;227,19;26,61;9873,80;0,93;10944,06;0,15;32,17;345,04;337,61;0,95;0,00;0,00
32,00;12,03;148,97;0,22;3609,79;20,35;183,52;20,35;7692,96;0,93;8605,81;0,15;25,22;345,00;340,17;0,95;0,00;0,00
33,00;12,19;161,17;0,17;3659,81;17,24;164,67;17,25;6610,32;0,92;7498,10;0,15;21,94;344,98;341,19;0,95;0,00;0,00
34,00;12,33;173,50;0,14;3701,49;15,72;156,22;15,72;6094,80;0,91;6966,91;0,15;20,38;344,97;341,67;0,95;0,00;0,00
35,00;12,36;185,86;0,03;3709,83;9,37;112,47;9,37;3641,06;0,89;4387,31;0,15;12,79;344,95;341,89;0,95;0,00;0,00
36,00;12,28;198,14;-0,08;3684,82;2,97;49,01;2,97;1144,69;0,50;2578,29;0,15;7,50;344,94;343,02;0,95;0,00;0,00
37,00;11,86;210,00;-0,42;3559,77;-16,32;158,20;-16,32;-6083,36;0,91;-5236,78;0,15;-15,08;344,93;343,78;0,95;0,00;0,00
