Time;Speed;Distance;Acceleration;Motor RPM;Ideal Torque;Reduction Loss;Real Torque;Electric Power;eMotor Efficiency;Power Consumption;Battery Internal Resistance;Battery Intensity;Battery OCV;Battery Tension;Battery SOC;Battery Usage Duration;Battery Pulse Duration
0,00;0,00;0,00;0,00;0,00;4,77;0,00;0,00;0,00;0,00;300,00;0,09;1,01;297,75;297,67;0,22;0,00;2,00
1,00;0,00;0,00;0,00;0,00;4,77;0,00;0,00;0,00;0,00;300,00;0,09;1,01;297,75;297,67;0,22;0,00;0,00
2,00;0,00;0,00;0,00;0,00;4,77;0,00;0,00;0,00;0,00;300,00;0,09;1,01;297,75;297,67;0,22;0,00;0,00
3,00;0,89;0,89;0,89;266,77;55,70;48,11;55,72;1556,52;0,51;3355,92;0,09;11,31;297,75;297,67;0,22;0,00;0,00
4,00;2,19;3,08;1,31;658,60;79,64;159,97;79,67;5494,40;0,75;7642,99;0,09;25,87;297,75;296,75;0,22;0,00;0,00
5,00;3,61;6,69;1,42;1083,77;86,17;265,46;86,19;9782,02;0,84;12011,05;0,09;40,86;297,75;295,34;0,22;0,00;0,00
6,00;5,06;11,75;1,44;1517,28;88,00;358,54;88,03;13986,59;0,88;16251,57;0,10;55,59;297,74;293,79;0,22;0,00;0,00
7,00;6,47;18,22;1,42;1942,45;86,73;432,32;86,76;17647,34;0,90;19966,96;0,10;68,66;297,73;292,13;0,22;0,00;0,00
8,00;7,72;25,94;1,25;2317,60;77,54;440,98;77,56;18822,84;0,91;20916,45;0,10;72,08;297,71;290,53;0,22;0,00;0,00
9,00;8,75;34,69;1,03;2626,06;65,14;407,30;65,16;17918,61;0,92;19723,52;0,11;67,94;297,69;289,87;0,22;0,00;0,00
10,00;9,75;44,44;1,00;2926,18;63,92;439,58;63,93;19590,30;0,93;21398,33;0,11;73,95;297,66;290,03;0,22;0,00;0,00
11,00;10,72;55,17;0,97;3217,96;62,72;470,13;62,73;21139,42;0,93;22977,41;0,10;-45,56;297,64;289,89;0,22;0,00;0,00
12,00;11,53;66,69;0,81;3459,73;53,52;425,30;53,54;19396,13;0,93;21053,46;0,09;-51,98;297,62;301,53;0,22;0,00;0,00
