Time;Speed;Distance;Acceleration;Motor RPM;Ideal Torque;Reduction Loss;Real Torque;Electric Power;eMotor Efficiency;Power Consumption;Battery Internal Resistance;Battery Intensity;Battery OCV;Battery Tension;Battery SOC;Battery Usage Duration;Battery Pulse Duration
0,00;0,00;0,00;0,00;0,00;4,77;0,00;0,00;0,00;0,00;300,00;0,09;1,01;297,75;297,67;0,22;0,00;2,00
1,00;0,00;0,00;0,00;0,00;4,77;0,00;0,00;0,00;0,00;300,00;0,09;1,01;297,75;297,67;0,22;0,00;0,00
2,00;0,00;0,00;0,00;0,00;4,77;0,00;0,00;0,00;0,00;300,00;0,09;1,01;297,75;297,67;0,22;0,00;0,00
3,00;0,00;0,00;0,00;0,00;4,77;0,00;0,00;0,00;0,00;300,00;0,09;1,01;297,75;297,67;0,22;0,00;0,00
4,00;0,00;0,00;0,00;0,00;4,77;0,00;0,00;0,00;0,00;300,00;0,09;1,01;297,75;297,66;0,22;0,00;0,00
5,00;0,00;0,00;0,00;0,00;4,77;0,00;0,00;0,00;0,00;300,00;0,09;1,01;297,75;297,66;0,22;0,00;0,00
6,00;0,00;0,00;0,00;0,00;4,77;0,00;0,00;0,00;0,00;300,00;0,10;1,01;297,75;297,66;0,22;0,00;0,00
7,00;0,00;0,00;0,00;0,00;4,77;0,00;0,00;0,00;0,00;300,00;0,10;1,01;297,75;297,65;0,22;0,00;0,00
8,00;0,00;0,00;0,00;0,00;4,77;0,00;0,00;0,00;0,00;300,00;0,10;1,01;297,75;297,65;0,22;0,00;0,00
9,00;0,00;0,00;0,00;0,00;4,77;0,00;0,00;0,00;0,00;300,00;0,11;1,01;297,75;297,64;0,22;0,00;0,00
10,00;0,00;0,00;0,00;0,00;4,77;0,00;0,00;0,00;0,00;300,00;0,11;1,01;297,75;297,64;0,22;0,00;0,00
11,00;0,02;0,02;0,02;5,84;5,89;0,12;5,89;3,60;0,02;526,34;0,12;1,77;297,75;297,63;0,22;0,00;0,00
12,00;0,43;0,45;0,41;130,05;28,48;12,41;28,49;388,02;0,39;1301,96;0,13;4,38;297,75;297,52;0,22;0,00;0,00
